Local time,Open,High,Low,Close,Volume
14.10.2024 01:08:00.000 GMT+0200,5813.240,5813.382,5813.111,5813.379,0.0074
14.10.2024 01:09:00.000 GMT+0200,5813.132,5813.132,5812.361,5812.611,0.0047
14.10.2024 01:10:00.000 GMT+0200,5812.379,5812.626,5812.361,5812.614,0.0054
14.10.2024 01:11:00.000 GMT+0200,5812.873,5812.873,5812.132,5812.132,0.0033
14.10.2024 01:12:00.000 GMT+0200,5811.864,5812.126,5811.427,5812.126,0.006
14.10.2024 01:13:00.000 GMT+0200,5811.870,5812.873,5811.864,5812.117,0.01
14.10.2024 01:14:00.000 GMT+0200,5811.873,5811.873,5811.617,5811.620,0.0027
14.10.2024 01:15:00.000 GMT+0200,5811.864,5811.864,5811.361,5811.361,0.002
14.10.2024 01:16:00.000 GMT+0200,5811.502,5811.620,5810.623,5810.870,0.0074
14.10.2024 01:17:00.000 GMT+0200,5810.734,5810.927,5810.614,5810.927,0.0054
14.10.2024 01:18:00.000 GMT+0200,5811.117,5811.117,5810.382,5810.382,0.0027
14.10.2024 01:19:00.000 GMT+0200,5810.114,5810.382,5809.867,5810.382,0.0067
14.10.2024 01:20:00.000 GMT+0200,5810.249,5810.376,5809.864,5810.114,0.0054
14.10.2024 01:21:00.000 GMT+0200,5810.370,5810.677,5810.370,5810.626,0.004
14.10.2024 01:22:00.000 GMT+0200,5810.376,5810.879,5810.376,5810.626,0.0027
14.10.2024 01:23:00.000 GMT+0200,5810.427,5810.620,5810.129,5810.376,0.0047
14.10.2024 01:24:00.000 GMT+0200,5810.623,5810.632,5810.364,5810.364,0.008
14.10.2024 01:25:00.000 GMT+0200,5810.626,5810.873,5810.132,5810.496,0.01
14.10.2024 01:26:00.000 GMT+0200,5810.626,5810.626,5810.626,5810.626,0.0007
14.10.2024 01:27:00.000 GMT+0200,5810.867,5810.867,5810.617,5810.617,0.0013
14.10.2024 01:28:00.000 GMT+0200,5810.864,5810.864,5810.129,5810.129,0.0027
14.10.2024 01:29:00.000 GMT+0200,5810.382,5810.382,5810.382,5810.382,0.0007
14.10.2024 01:30:00.000 GMT+0200,5810.629,5810.632,5809.870,5810.427,0.0127
14.10.2024 01:31:00.000 GMT+0200,5810.427,5810.427,5810.427,5810.427,0
14.10.2024 01:32:00.000 GMT+0200,5810.252,5810.252,5809.626,5809.626,0.0033
14.10.2024 01:33:00.000 GMT+0200,5809.882,5810.632,5809.626,5810.611,0.006
14.10.2024 01:34:00.000 GMT+0200,5810.797,5810.882,5810.370,5810.629,0.0094
14.10.2024 01:35:00.000 GMT+0200,5810.737,5811.129,5810.614,5810.882,0.0094
14.10.2024 01:36:00.000 GMT+0200,5811.132,5811.367,5810.861,5811.132,0.006
14.10.2024 01:37:00.000 GMT+0200,5810.999,5811.123,5810.632,5810.993,0.006
14.10.2024 01:38:00.000 GMT+0200,5810.927,5810.927,5810.626,5810.626,0.0013
14.10.2024 01:39:00.000 GMT+0200,5810.547,5810.876,5810.370,5810.797,0.0074
14.10.2024 01:40:00.000 GMT+0200,5810.620,5810.632,5810.364,5810.364,0.0054
14.10.2024 01:41:00.000 GMT+0200,5810.499,5810.882,5810.499,5810.882,0.004
14.10.2024 01:42:00.000 GMT+0200,5811.132,5813.126,5810.996,5813.126,0.0141
14.10.2024 01:43:00.000 GMT+0200,5813.240,5813.623,5812.864,5813.129,0.0134
14.10.2024 01:44:00.000 GMT+0200,5813.252,5813.373,5812.626,5812.867,0.0134
14.10.2024 01:45:00.000 GMT+0200,5812.620,5813.111,5812.427,5812.427,0.0201
14.10.2024 01:46:00.000 GMT+0200,5812.126,5812.126,5811.611,5812.111,0.006
14.10.2024 01:47:00.000 GMT+0200,5811.861,5811.873,5810.867,5811.123,0.0074
14.10.2024 01:48:00.000 GMT+0200,5811.240,5811.611,5810.111,5810.231,0.0134
14.10.2024 01:49:00.000 GMT+0200,5810.382,5811.126,5810.361,5810.873,0.006
14.10.2024 01:50:00.000 GMT+0200,5810.731,5810.731,5809.927,5810.370,0.0107
14.10.2024 01:51:00.000 GMT+0200,5810.496,5810.496,5810.120,5810.120,0.008
14.10.2024 01:52:00.000 GMT+0200,5809.864,5810.361,5809.614,5810.177,0.0107
14.10.2024 01:53:00.000 GMT+0200,5809.990,5810.364,5809.617,5810.129,0.0134
14.10.2024 01:54:00.000 GMT+0200,5810.379,5810.427,5809.861,5809.861,0.0141
14.10.2024 01:55:00.000 GMT+0200,5809.623,5810.177,5809.623,5809.984,0.0228
14.10.2024 01:56:00.000 GMT+0200,5810.177,5810.177,5809.376,5809.626,0.0067
14.10.2024 01:57:00.000 GMT+0200,5809.861,5810.177,5809.617,5810.111,0.004
14.10.2024 01:58:00.000 GMT+0200,5809.984,5810.370,5809.927,5810.117,0.0033
14.10.2024 01:59:00.000 GMT+0200,5809.864,5809.864,5809.864,5809.864,0.0007
14.10.2024 02:00:00.000 GMT+0200,5810.177,5810.614,5809.361,5809.626,0.0261
14.10.2024 02:01:00.000 GMT+0200,5809.731,5810.132,5809.361,5809.752,0.0221
14.10.2024 02:02:00.000 GMT+0200,5809.623,5809.882,5809.111,5809.111,0.0228
14.10.2024 02:03:00.000 GMT+0200,5809.367,5809.611,5809.111,5809.427,0.0127
14.10.2024 02:04:00.000 GMT+0200,5809.114,5809.373,5808.873,5809.114,0.0094
14.10.2024 02:05:00.000 GMT+0200,5809.249,5810.249,5809.249,5810.129,0.0074
14.10.2024 02:06:00.000 GMT+0200,5809.867,5810.882,5809.867,5810.382,0.0147
14.10.2024 02:07:00.000 GMT+0200,5810.547,5810.632,5810.361,5810.632,0.0054
14.10.2024 02:08:00.000 GMT+0200,5810.873,5810.879,5810.367,5810.367,0.006
14.10.2024 02:09:00.000 GMT+0200,5810.629,5810.927,5810.370,5810.382,0.0114
14.10.2024 02:10:00.000 GMT+0200,5810.623,5810.737,5809.927,5810.126,0.01
14.10.2024 02:11:00.000 GMT+0200,5810.234,5810.379,5809.867,5809.867,0.0114
14.10.2024 02:12:00.000 GMT+0200,5809.993,5810.129,5809.867,5809.867,0.0033
14.10.2024 02:13:00.000 GMT+0200,5809.981,5810.120,5809.620,5809.629,0.0087
14.10.2024 02:14:00.000 GMT+0200,5809.361,5809.361,5808.632,5808.873,0.0087
14.10.2024 02:15:00.000 GMT+0200,5809.002,5809.249,5808.367,5808.996,0.0214
14.10.2024 02:16:00.000 GMT+0200,5808.882,5809.117,5808.629,5808.861,0.0067
14.10.2024 02:17:00.000 GMT+0200,5808.617,5808.864,5808.237,5808.427,0.0047
14.10.2024 02:18:00.000 GMT+0200,5808.629,5809.126,5808.611,5808.927,0.0094
14.10.2024 02:19:00.000 GMT+0200,5809.177,5809.632,5808.879,5809.632,0.01
14.10.2024 02:20:00.000 GMT+0200,5809.864,5810.373,5809.864,5810.132,0.0094
14.10.2024 02:21:00.000 GMT+0200,5810.243,5810.623,5810.111,5810.620,0.0107
14.10.2024 02:22:00.000 GMT+0200,5810.873,5811.382,5810.873,5811.382,0.0047
14.10.2024 02:23:00.000 GMT+0200,5811.129,5811.376,5810.999,5811.361,0.0054
14.10.2024 02:24:00.000 GMT+0200,5811.623,5811.623,5810.870,5811.117,0.0067
14.10.2024 02:25:00.000 GMT+0200,5810.993,5811.132,5810.879,5811.132,0.002
14.10.2024 02:26:00.000 GMT+0200,5811.132,5811.132,5811.132,5811.132,0
14.10.2024 02:27:00.000 GMT+0200,5810.882,5811.677,5810.882,5810.927,0.0047
14.10.2024 02:28:00.000 GMT+0200,5810.623,5810.867,5810.382,5810.623,0.0047
14.10.2024 02:29:00.000 GMT+0200,5810.382,5810.382,5810.002,5810.177,0.004
14.10.2024 02:30:00.000 GMT+0200,5809.882,5810.382,5809.623,5810.364,0.0074
14.10.2024 02:31:00.000 GMT+0200,5810.632,5810.632,5810.123,5810.123,0.0067
14.10.2024 02:32:00.000 GMT+0200,5810.297,5810.629,5810.117,5810.427,0.0074
14.10.2024 02:33:00.000 GMT+0200,5810.481,5810.481,5810.117,5810.427,0.0074
14.10.2024 02:34:00.000 GMT+0200,5810.129,5810.132,5809.870,5810.132,0.002
14.10.2024 02:35:00.000 GMT+0200,5809.876,5809.876,5809.734,5809.873,0.002
14.10.2024 02:36:00.000 GMT+0200,5809.677,5809.677,5809.376,5809.376,0.0047
14.10.2024 02:37:00.000 GMT+0200,5809.234,5810.123,5809.234,5810.123,0.0033
14.10.2024 02:38:00.000 GMT+0200,5809.873,5809.873,5809.626,5809.861,0.004
14.10.2024 02:39:00.000 GMT+0200,5809.990,5810.120,5809.626,5809.626,0.0033
14.10.2024 02:40:00.000 GMT+0200,5809.740,5810.177,5809.623,5810.177,0.0047
14.10.2024 02:41:00.000 GMT+0200,5809.876,5809.927,5809.611,5809.927,0.0141
14.10.2024 02:42:00.000 GMT+0200,5810.117,5810.117,5809.876,5809.876,0.002
14.10.2024 02:43:00.000 GMT+0200,5809.623,5809.632,5809.487,5809.632,0.0033
14.10.2024 02:44:00.000 GMT+0200,5809.487,5809.740,5809.132,5809.379,0.008
14.10.2024 02:45:00.000 GMT+0200,5809.617,5809.677,5809.370,5809.629,0.0033
14.10.2024 02:46:00.000 GMT+0200,5809.481,5809.614,5809.364,5809.379,0.006
